Accession.trimmed,Gene.Symbol
A4FVA9,A4FVA9
Q6NXE4,Q6NXE4
A0A024QY88,A0A024QY88
A7U7M2,A7U7M2
A0A024RDG1,A0A024RDG1
Q7YED6,Q7YED6
A0A024QZB5,A0A024QZB5
A0A024RCR5,A0A024RCR5
G0W2N5,G0W2N5
A0A024R071,A0A024R071
B8ZZY4,B8ZZY4
Q9NWJ2,Q9NWJ2
A0A087WW13,A0A087WW13
A0A0G2JJR8,A0A0G2JJR8
A8MZF5,A8MZF5
A0A024R1C4,A0A024R1C4
A0A087WY10,A0A087WY10
A0A0B4J255,A0A0B4J255
E9PBF9,E9PBF9
A6YT99,A6YT99
B4DSL5,B4DSL5
M0R151,M0R151
A4F3V8,A4F3V8
E9PFG9,E9PFG9
G5EA21,G5EA21
K7ER92,K7ER92
Q96E20,Q96E20
K7EJT7,K7EJT7
K7EMA7,K7EMA7
Q6PKC6,Q6PKC6
A0A024QZE0,A0A024QZE0
A0A191URG8,A0A191URG8
Q6IBH0,Q6IBH0
Q99603,Q99603
A0A0S2Z454,A0A0S2Z454
A7MD47,A7MD47
A0A0G2JN57,A0A0G2JN57
A0A0G2JNQ7,A0A0G2JNQ7
A0A024R4B0,A0A024R4B0
A0A0D9SG12,A0A0D9SG12
E9PLW9,E9PLW9
E9PNJ7,E9PNJ7
G5E9R7,G5E9R7
A0A0S2Z5Q6,A0A0S2Z5Q6
B4DFT4,B4DFT4
E7EW99,E7EW99
H0Y9D9,H0Y9D9
H0YM15,H0YM15
I3L1A2,I3L1A2
Q8WV90,Q8WV90
A0N4X2,A0N4X2
K7EKX8,K7EKX8
Q5VXV3,Q5VXV3
A0A024R4S6,A0A024R4S6
A0A0J9YY83,A0A0J9YY83
A0A0S2Z6V5,A0A0S2Z6V5
E7ENU9,E7ENU9
F8VSK9,F8VSK9
M0QYD1,M0QYD1
Q8WTQ8,Q8WTQ8
E5KQS5,E5KQS5
G5EA27,G5EA27
D3DPU2,D3DPU2
H3BM92,H3BM92
H3BUR4,H3BUR4
A8K968,A8K968
A0A024R9X7,A0A024R9X7
Q5JAM2,Q5JAM2
A0A024RAK8,A0A024RAK8
B4DKD1,B4DKD1
B4DZ74,B4DZ74
D9IPD9,D9IPD9
F8VVX5,F8VVX5
A0A1B0GU93,A0A1B0GU93
A0A1W2PPH0,A0A1W2PPH0
B7Z2C8,B7Z2C8
H3BT23,H3BT23
H7BXZ6,H7BXZ6
Q541S4,Q541S4
V9GY49,V9GY49
A0A087X069,A0A087X069
B4DYW4,B4DYW4
B5MBY9,B5MBY9
F8WBB3,F8WBB3
H0YMS0,H0YMS0
A0A286YEE6,A0A286YEE6
H3BNQ6,H3BNQ6
J3KPJ9,J3KPJ9
J3QS25,J3QS25
A0A0J9YXY4,A0A0J9YXY4
A0A1W2PRL0,A0A1W2PRL0
E9PKI2,E9PKI2
F2Z2L8,F2Z2L8
Q76L82,Q76L82
A0A024RA76,A0A024RA76
F5H2R8,F5H2R8
H3BQS6,H3BQS6
H3BRR4,H3BRR4
H3BRS5,H3BRS5
I3L484,I3L484
K7EPP4,K7EPP4
A0A087WV79,A0A087WV79
B4E0P5,B4E0P5
E9PI72,E9PI72
H3BNE1,H3BNE1
B0EVZ8,B0EVZ8
L0B3M6,L0B3M6
Q8NG42,Q8NG42
A0A024RCP3,A0A024RCP3
A0A024RC37,A0A024RC37
A8MVK1,A8MVK1
A0A024QZ70,A0A024QZ70
A0A0B4J221,A0A0B4J221
A0A1W2PQ31,A0A1W2PQ31
F2Z3H1,F2Z3H1
F8WAF9,F8WAF9
A0A1W2PPC3,A0A1W2PPC3
F2Z2M3,F2Z2M3
A0A0B4J1W4,A0A0B4J1W4
B0YJ93,B0YJ93
K7EMP2,K7EMP2
A0A087WV09,A0A087WV09
A0A0G2JLK6,A0A0G2JLK6
A0A024R6P8,A0A024R6P8
C9J2R4,C9J2R4
I3NI06,I3NI06
J3KRJ6,J3KRJ6
A0A140VJJ7,A0A140VJJ7
B4DEE2,B4DEE2
E5RIP0,E5RIP0
E9PLV3,E9PLV3
F2Z3N0,F2Z3N0
H3BPD6,H3BPD6
K7EP41,K7EP41
Q5T8R2,Q5T8R2
Q96IP2,Q96IP2
Q9BUG9,Q9BUG9
A0A024QZU6,A0A024QZU6
A0A080YUZ9,A0A080YUZ9
A0A087WZF6,A0A087WZF6
K7EQK2,K7EQK2
F8WEA8,F8WEA8
K7ESI0,K7ESI0
M0QYW0,M0QYW0
A0A087WYP8,A0A087WYP8
C9JNY7,C9JNY7
H7C2M4,H7C2M4
I3L2P5,I3L2P5
Q8WYI2,Q8WYI2
B5MCN0,B5MCN0
B8ZZK4,B8ZZK4
K7ENN4,K7ENN4
K7EQK8,K7EQK8
A0A0A0MR21,A0A0A0MR21
A0A0B4J281,A0A0B4J281
A0A0C4DH12,A0A0C4DH12
A0A0G2JJ82,A0A0G2JJ82
A0A0G2JKJ3,A0A0G2JKJ3
A4Q9G9,A4Q9G9
C9JZS0,C9JZS0
Q6XYB5,Q6XYB5
A0A087X1C2,A0A087X1C2
B7ZAR9,B7ZAR9
Q5TH30,Q5TH30
X5DNA9,X5DNA9
A0A0S2Z3Q8,A0A0S2Z3Q8
A0A0J9YWD0,A0A0J9YWD0
A0A087X1Y9,A0A087X1Y9
H3BMS9,H3BMS9
M0QZB2,M0QZB2
A8MSP2,A8MSP2
C9JY41,C9JY41
H0YM30,H0YM30
A0A0G2JM58,A0A0G2JM58
H3BR97,H3BR97
I3L4V2,I3L4V2
K9J957,K9J957
D3DX46,D3DX46
H3BUI0,H3BUI0
M0R399,M0R399
B7ZM65,B7ZM65
C9JBB0,C9JBB0
F5GY90,F5GY90
A0A087WXU8,A0A087WXU8
B4DPS1,B4DPS1
B7Z4B8,B7Z4B8
F8WD89,F8WD89
F8WE63,F8WE63
J3KRU0,J3KRU0
B4DTR1,B4DTR1
I3L1G6,I3L1G6
J3KNC5,J3KNC5
Q2TAY9,Q2TAY9
Q6R954,Q6R954
B7ZB78,B7ZB78
G5E9X4,G5E9X4
I3L167,I3L167
Q9UF94,Q9UF94
A0A087X0Q4,A0A087X0Q4
E9PMY2,E9PMY2
J3QQZ3,J3QQZ3
A0A0D9SF70,A0A0D9SF70
A0A0X1KG78,A0A0X1KG78
A0A140EDI1,A0A140EDI1
B0YJC5,B0YJC5
F8VVB8,F8VVB8
B1AHC9,B1AHC9
K7EMG4,K7EMG4
A0A0G2JMI0,A0A0G2JMI0
Q68CY6,Q68CY6
Q96I73,Q96I73
A0A024R746,A0A024R746
B4E0L7,B4E0L7
D6RDI4,D6RDI4
E9PDE3,E9PDE3
A0A087WYT0,A0A087WYT0
A0A1W2PQV0,A0A1W2PQV0
E2QRB3,E2QRB3
E5RFU7,E5RFU7
E9PK13,E9PK13
E9PK97,E9PK97
I3L2U4,I3L2U4
Q86YL8,Q86YL8
Q9NSV5,Q9NSV5
A0A1G4HPU3,A0A1G4HPU3
B3KT46,B3KT46
H3BMW8,H3BMW8
K7ESH9,K7ESH9
M0R338,M0R338
M0R0C1,M0R0C1
A0A161IHP0,A0A161IHP0
B8ZZT5,B8ZZT5
B2RBR3,B2RBR3
B7ZVZ1,B7ZVZ1
Q9UBH5,Q9UBH5
A0A0G2JLR5,A0A0G2JLR5
A0A0G2JM44,A0A0G2JM44
B7Z1S6,B7Z1S6
D6RA24,D6RA24
E5RFV9,E5RFV9
E9PM39,E9PM39
Q4ZFW0,Q4ZFW0
A0A024R1M3,A0A024R1M3
A0A0G2JR45,A0A0G2JR45
F8VVZ1,F8VVZ1
O60595,O60595
Q7YCH3,Q7YCH3
Q9NZG9,Q9NZG9
A0A024RBX2,A0A024RBX2
A0A0U1RQY7,A0A0U1RQY7
Q9UFM8,Q9UFM8
A0N4Z3,A0N4Z3
E2DF63,E2DF63
H3BNC0,H3BNC0
V9HWG9,V9HWG9
D6RBX1,D6RBX1
A0A1B2ALL4,A0A1B2ALL4
H0YNK1,H0YNK1
J3KPQ4,J3KPQ4
A8K0C1,A8K0C1
Q68DN7,Q68DN7
A0A1W2PQS3,A0A1W2PQS3
Q9NRE7,Q9NRE7
J3KS60,J3KS60
A0A024R4B5,A0A024R4B5
C9JPQ5,C9JPQ5
F5H5V0,F5H5V0
G5E9Z6,G5E9Z6
H3BNN3,H3BNN3
H3BQ46,H3BQ46
Q9HBK0,Q9HBK0
U3KPR8,U3KPR8
A0A024RAY7,A0A024RAY7
A0A0G2JM97,A0A0G2JM97
B4DF95,B4DF95
F5GWC3,F5GWC3
H0YNV5,H0YNV5
I3L349,I3L349
J3QSH0,J3QSH0
A0A024QZY9,A0A024QZY9
A0A0S2Z5H7,A0A0S2Z5H7
K4DI97,K4DI97
Q9B2V1,Q9B2V1
A0A024QYX3,A0A024QYX3
B3KRD8,B3KRD8
K7ELJ7,K7ELJ7
Q8IX09,Q8IX09
A0A0J9YXC4,A0A0J9YXC4
B4DXD0,B4DXD0
B8ZWD1,B8ZWD1
E9PJT1,E9PJT1
F5H1Z4,F5H1Z4
F8WFA1,F8WFA1
H0Y310,H0Y310
J3KST7,J3KST7
Q5FBW6,Q5FBW6
Q8TBC6,Q8TBC6
A0A024R8P4,A0A024R8P4
A0A1B0GVL6,A0A1B0GVL6
B3KPL7,B3KPL7
B4DPZ9,B4DPZ9
B7Z2T4,B7Z2T4
F8W1B3,F8W1B3
M0R071,M0R071
Q6ZPB1,Q6ZPB1
Q8TE47,Q8TE47
C9JQ14,C9JQ14
H0YNX7,H0YNX7
A0A024R4I9,A0A024R4I9
B4DPU0,B4DPU0
G5E9R6,G5E9R6
A0A087X259,A0A087X259
J3QR55,J3QR55
Q6IAT7,Q6IAT7
A0A0C4DGP3,A0A0C4DGP3
A0A1Y8EI39,A0A1Y8EI39
Q53Y73,Q53Y73
A0A0C4DFT4,A0A0C4DFT4
F5GYF0,F5GYF0
F8WBG9,F8WBG9
K7ELV4,K7ELV4
A0A0D9SGH1,A0A0D9SGH1
A4D177,A4D177
C9JEA3,C9JEA3
C9JW94,C9JW94
F8W866,F8W866
H3BUC9,H3BUC9
M0R1U0,M0R1U0
B4E3E2,B4E3E2
B7Z896,B7Z896
C6EMZ7,C6EMZ7
H3BNI4,H3BNI4
Q86XE2,Q86XE2
D6W5Y7,D6W5Y7
H3BPZ0,H3BPZ0
Q546G3,Q546G3
Q9BTR4,Q9BTR4
Q6NSG7,Q6NSG7
Q4ZF72,Q4ZF72
A0A076FQ79,A0A076FQ79
Q5FC08,Q5FC08
B4DGU6,B4DGU6
A0A087WU67,A0A087WU67
K4PZ75,K4PZ75
Q53XC2,Q53XC2
H9NIM5,H9NIM5
Q5T0G8,Q5T0G8
H3BM50,H3BM50
A0A1W2PR95,A0A1W2PR95
F2Z2W4,F2Z2W4
F5H2F3,F5H2F3
G5EA44,G5EA44
H0YN47,H0YN47
H3BSR4,H3BSR4
I3L2N0,I3L2N0
J3KRT7,J3KRT7
R4GMN0,R4GMN0
A0A0B4RUS7,A0A0B4RUS7
A0A140VKA0,A0A140VKA0
D9YZU9,D9YZU9
F8VZW6,F8VZW6
H3BM42,H3BM42
J3KRY7,J3KRY7
K7EL03,K7EL03
K7ERG0,K7ERG0
Q9BQU1,Q9BQU1
A0A087WVG1,A0A087WVG1
C9J1B2,C9J1B2
C9K0W5,C9K0W5
F8WB90,F8WB90
I3NI49,I3NI49
M0R1B8,M0R1B8
Q8N917,Q8N917
A0A0G2JI52,A0A0G2JI52
A0A024QZ62,A0A024QZ62
B4E107,B4E107
F5H515,F5H515
F8VVU7,F8VVU7
I3L2G7,I3L2G7
A3KMQ0,A3KMQ0
Q4VB33,Q4VB33
A0A0U5KKB2,A0A0U5KKB2
A0A0A0MTA2,A0A0A0MTA2
E9PLM9,E9PLM9
Q549M9,Q549M9
A0A024R206,A0A024R206
V9HWK2,V9HWK2
A0A024R3H8,A0A024R3H8
A0A024QYU9,A0A024QYU9
A0A024R9U3,A0A024R9U3
Q496M4,Q496M4
Q6IPS9,Q6IPS9
A0A2K4N8I0,A0A2K4N8I0
A0A087WYV4,A0A087WYV4
A0A0B4J1Z0,A0A0B4J1Z0
B1A4G9,B1A4G9
H3BPV3,H3BPV3
B4DEW4,B4DEW4
B4DJK6,B4DJK6
F2Z2D2,F2Z2D2
H3BRE9,H3BRE9
Q5VV23,Q5VV23
Q6RLS1,Q6RLS1
A0A0B4J2A6,A0A0B4J2A6
A0A2I6PN76,A0A2I6PN76
B7Z8D3,B7Z8D3
H3BRH9,H3BRH9
H3BTG6,H3BTG6
I3L3I6,I3L3I6
A0A024R607,A0A024R607
B4E2E0,B4E2E0
H3BUF5,H3BUF5
K7ELR4,K7ELR4
Q541A5,Q541A5
Q5VT14,Q5VT14
Q8TCH1,Q8TCH1
A0A024R758,A0A024R758
A0A024R7B7,A0A024R7B7
Q5U058,Q5U058
A0A024R1V4,A0A024R1V4
B6DU75,B6DU75
B7Z8J4,B7Z8J4
F5H359,F5H359
F5H7Q5,F5H7Q5
E2JJL6,E2JJL6
E9PR82,E9PR82
K7EQT5,K7EQT5
Q5JWS5,Q5JWS5
Q9P1I4,Q9P1I4
A0A024RCF9,A0A024RCF9
E9PJ53,E9PJ53
Q5Y7A9,Q5Y7A9
A0A2I2JL18,A0A2I2JL18
Q9H6P9,Q9H6P9
A0A0G2JIT5,A0A0G2JIT5
A0A024R3S7,A0A024R3S7
A0A024R7W9,A0A024R7W9
Q8WCX3,Q8WCX3
A0A0S2Z5W3,A0A0S2Z5W3
W0S4B9,W0S4B9
A0A1W2PPG5,A0A1W2PPG5
I3L414,I3L414
A0A1B0GUF5,A0A1B0GUF5
A0N0Q3,A0N0Q3
F5H7X1,F5H7X1
G5EA35,G5EA35
O95086,O95086
Q58A54,Q58A54
B1AKS3,B1AKS3
C9JY42,C9JY42
H0YLF3,H0YLF3
H3BSW3,H3BSW3
A0N4X5,A0N4X5
H0YLI5,H0YLI5
A0A1Z2R895,A0A1Z2R895
A0N0Q0,A0N0Q0
B7ZLT2,B7ZLT2
A0A286YEW8,A0A286YEW8
B8ZZ73,B8ZZ73
C9J5E6,C9J5E6
E9PPT8,E9PPT8
F8WCV3,F8WCV3
I3L3G9,I3L3G9
J3KRP6,J3KRP6
A0A024R395,A0A024R395
C9JQ86,C9JQ86
A0A0B4J2E3,A0A0B4J2E3
A0A0U1RR72,A0A0U1RR72
A0A0B7NXX4,A0A0B7NXX4
A0A024RBB5,A0A024RBB5
F5H1M3,F5H1M3
Q5JWS6,Q5JWS6
A0A024R474,A0A024R474
K7ENZ9,K7ENZ9
K7RE46,K7RE46
K7ER67,K7ER67
A0A024RDE5,A0A024RDE5
A0A0G2JQ90,A0A0G2JQ90
G5E9E9,G5E9E9
R4GND1,R4GND1
A0A0A0MT70,A0A0A0MT70
A0A1B0GUE3,A0A1B0GUE3
A0A024R782,A0A024R782
A0A0G2JMJ3,A0A0G2JMJ3
B4DLJ1,B4DLJ1
B4DYV8,B4DYV8
B7Z225,B7Z225
E7EU39,E7EU39
E9PAS2,E9PAS2
H3BQA6,H3BQA6
I3L1Q7,I3L1Q7
A0A024RBT8,A0A024RBT8
D3DX19,D3DX19
E7EWW4,E7EWW4
K7EKM7,K7EKM7
M0QYD8,M0QYD8
Q9UBD8,Q9UBD8
A0A140TA34,A0A140TA34
C9JKF3,C9JKF3
E9PI46,E9PI46
K7ENB6,K7ENB6
Q68DU9,Q68DU9
Q8IWH8,Q8IWH8
B4DEH9,B4DEH9
B4DZB7,B4DZB7
Q5D1J4,Q5D1J4
A0A024R324,A0A024R324
A0A1B0GTM1,A0A1B0GTM1
D7RIH8,D7RIH8
Q5TCX1,Q5TCX1
A0A1U9X8J1,A0A1U9X8J1
A0A1Z2RTS6,A0A1Z2RTS6
A0A1B0GUB1,A0A1B0GUB1
W8DHB9,W8DHB9
A0A024R9R4,A0A024R9R4
A0A0G2JRK4,A0A0G2JRK4
A0A1Y8EKQ5,A0A1Y8EKQ5
D3YTD3,D3YTD3
F2Z2Z1,F2Z2Z1
H3BRY9,H3BRY9
Q9UFN7,Q9UFN7
A0A2H4RKA7,A0A2H4RKA7
F2Z329,F2Z329
H3BSB8,H3BSB8
H3BU36,H3BU36
K7ELT0,K7ELT0
M0QX59,M0QX59
Q53TK1,Q53TK1
D6RA87,D6RA87
H3BT65,H3BT65
Q2TA81,Q2TA81
Q53T66,Q53T66
Q6L5J4,Q6L5J4
A4FU32,A4FU32
Q546G0,Q546G0
A0A1W2PR24,A0A1W2PR24
B0YJC4,B0YJC4
C9J3S1,C9J3S1
A0A0G2JLJ4,A0A0G2JLJ4
C9JUE6,C9JUE6
J3QSH9,J3QSH9
K7EQH0,K7EQH0
A0A024R9G2,A0A024R9G2
Q8WUX5,Q8WUX5
A0A0S4XRL9,A0A0S4XRL9
A0A0S2Z437,A0A0S2Z437
Q6IBB5,Q6IBB5
A4D1M3,A4D1M3
A0A024RBE8,A0A024RBE8
Q9MYC0,Q9MYC0
Q4ZF95,Q4ZF95
A8K3J4,A8K3J4
B7Z3B9,B7Z3B9
D6R947,D6R947
F2Z3G8,F2Z3G8
H9SY95,H9SY95
I3L2R9,I3L2R9
G3V352,G3V352
A4Z6T9,A4Z6T9
A9JX13,A9JX13
V9HW83,V9HW83
A0A075B778,A0A075B778
A0A087WSV6,A0A087WSV6
H3BU10,H3BU10
Q71RC1,Q71RC1
A6NFR2,A6NFR2
H3BRI2,H3BRI2
A0A024R082,A0A024R082
J3KR69,J3KR69
A0A024R8M1,A0A024R8M1
A0A024RDF3,A0A024RDF3
Q6IAV3,Q6IAV3
B0V092,B0V092
G3V441,G3V441
B7ZM24,B7ZM24
K7EKD8,K7EKD8
Q2M2A7,Q2M2A7
Q8IU84,Q8IU84
K7EQ68,K7EQ68
Q2T9L5,Q2T9L5
Q53GN4,Q53GN4
Q6VK00,Q6VK00
A0A024RB22,A0A024RB22
F8VX74,F8VX74
Q3SYF1,Q3SYF1
W8FW32,W8FW32
A0A2D3FAF9,A0A2D3FAF9
F5H326,F5H326
I3L3N6,I3L3N6
Q2M3L1,Q2M3L1
Q6IBA2,Q6IBA2
B4DJF2,B4DJF2
B8ZZ12,B8ZZ12
Q6JHZ5,Q6JHZ5
A0A087WU82,A0A087WU82
A0A0S2Z4Y6,A0A0S2Z4Y6
A0A024RAT1,A0A024RAT1
A0A0G2JN69,A0A0G2JN69
B8ZZL8,B8ZZL8
F5H8I6,F5H8I6
J3KQT2,J3KQT2
J3KSR5,J3KSR5
X5DQS5,X5DQS5
A0A087WZR1,A0A087WZR1
A0A1B0GX77,A0A1B0GX77
A4D0Y8,A4D0Y8
B7Z739,B7Z739
E9PFM6,E9PFM6
I3L1R3,I3L1R3
J3KNK7,J3KNK7
A0A024RCG4,A0A024RCG4
B4DHR0,B4DHR0
H0UID0,H0UID0
H3BLV3,H3BLV3
K7EMT6,K7EMT6
M9VUD0,M9VUD0
Q71QC5,Q71QC5
Q8WYZ0,Q8WYZ0
A0A024R8V0,A0A024R8V0
B3KNL7,B3KNL7
C9JLV2,C9JLV2
E0XEN6,E0XEN6
H3BRV3,H3BRV3
K7ELM3,K7ELM3
K7ELR7,K7ELR7
A0A0U5Q0F9,A0A0U5Q0F9
G3V365,G3V365
A0A140VJU6,A0A140VJU6
A0A024QYY9,A0A024QYY9
B4DFZ0,B4DFZ0
A0A024RA29,A0A024RA29
Q0VG75,Q0VG75
Q8N5N8,Q8N5N8
A0A087X0S3,A0A087X0S3
A0A0G2JQ13,A0A0G2JQ13
A0A2P1H0U7,A0A2P1H0U7
B0QY84,B0QY84
B4DYQ8,B4DYQ8
B7ZA85,B7ZA85
E5KPM9,E5KPM9
E7EMT5,E7EMT5
E9PJB3,E9PJB3
F8W1M3,F8W1M3
K7ERL2,K7ERL2
A0A087WT41,A0A087WT41
A0A087X2C8,A0A087X2C8
A0A0D9SF20,A0A0D9SF20
A4D1X5,A4D1X5
E9PN38,E9PN38
E9PNT4,E9PNT4
F2Z2D3,F2Z2D3
J3QS32,J3QS32
Q9UFS1,Q9UFS1
A0A024RAZ7,A0A024RAZ7
A0A286YF72,A0A286YF72
B2RDS2,B2RDS2
B4DJS2,B4DJS2
E9KL26,E9KL26
E9PIA3,E9PIA3
J3KNR3,J3KNR3
Q05D23,Q05D23
A0A126GWB3,A0A126GWB3
J3KSY5,J3KSY5
A0A0A0MS07,A0A0A0MS07
B4DFB6,B4DFB6
C9JFH2,C9JFH2
G8JB19,G8JB19
Q9BYK2,Q9BYK2
A0A0D9SGA7,A0A0D9SGA7
Q4GHG0,Q4GHG0
A0A024R038,A0A024R038
A0A0A0MT94,A0A0A0MT94
A0A024RBB7,A0A024RBB7
A4QPE4,A4QPE4
A0A1Y6IQK5,A0A1Y6IQK5
Q3MI84,Q3MI84
Q53GC0,Q53GC0
A0A0G2JLB3,A0A0G2JLB3
Q9B2X5,Q9B2X5
A0A0A0MRN4,A0A0A0MRN4
A0A1W2PPM0,A0A1W2PPM0
A0A024RBV5,A0A024RBV5
Q8IXR4,Q8IXR4
I0CKG6,I0CKG6
A0A250SH36,A0A250SH36
A0A0G2JP96,A0A0G2JP96
F2Z2I4,F2Z2I4
A0A087WYK3,A0A087WYK3
Q96FY5,Q96FY5
A0A087WXY6,A0A087WXY6
A0A1U9X986,A0A1U9X986
Q8IVZ9,Q8IVZ9
A0A140T9P5,A0A140T9P5
B0AZN8,B0AZN8
D6RAX5,D6RAX5
J3QKK6,J3QKK6
Q53QD4,Q53QD4
A0A075B7C5,A0A075B7C5
A0A087WYI8,A0A087WYI8
K7EJ35,K7EJ35
Q5VU50,Q5VU50
A0A024R963,A0A024R963
A0A024RAS5,A0A024RAS5
A0A024RAY2,A0A024RAY2
A0A024RBU0,A0A024RBU0
B4DTL1,B4DTL1
E9PMB8,E9PMB8
M0R0P1,M0R0P1
Q6T5J5,Q6T5J5
Q8IUS9,Q8IUS9
A0A024RD30,A0A024RD30
B0QY04,B0QY04
G3V5M6,G3V5M6
H3BM89,H3BM89
A0A0J9YXE3,A0A0J9YXE3
A8DIL7,A8DIL7
B2RCT9,B2RCT9
Q6FI39,Q6FI39
M0R0V3,M0R0V3
Q30093,Q30093
A0A0G2JRW3,A0A0G2JRW3
A0A024R429,A0A024R429
A0A024R611,A0A024R611
A0A024R8Q2,A0A024R8Q2
F1DAM6,F1DAM6
Q53XC6,Q53XC6
A0A024RCM3,A0A024RCM3
D6REQ5,D6REQ5
A0A024R1K5,A0A024R1K5
B4DFZ5,B4DFZ5
B4DQR7,B4DQR7
C9IYW5,C9IYW5
Q4PNE6,Q4PNE6
C9JSX4,C9JSX4
F2Z2I2,F2Z2I2
F2Z3E8,F2Z3E8
A2ID99,A2ID99
F5GX00,F5GX00
Q6FIF5,Q6FIF5
E9PKZ1,E9PKZ1
Q6FHM6,Q6FHM6
B7Z4M1,B7Z4M1
D6R9P6,D6R9P6
A0A1C3PHL8,A0A1C3PHL8
A0A1Y6MTB1,A0A1Y6MTB1
A0A024R7E1,A0A024R7E1
Q6IA61,Q6IA61
Q6IAL5,Q6IAL5
X5D945,X5D945
A0A1C9J7R9,A0A1C9J7R9
Q6FGF7,Q6FGF7
A0A024R947,A0A024R947
L7RTG7,L7RTG7
Q53XB4,Q53XB4
A0A0G2JNH5,A0A0G2JNH5
Q9BU35,Q9BU35
A0A060BKR4,A0A060BKR4
J3QQP1,J3QQP1
B2R7W3,B2R7W3
Q9B2Z3,Q9B2Z3
A0A024R9I0,A0A024R9I0
A0A024RA38,A0A024RA38
A0A0G2JLK8,A0A0G2JLK8
A0A0G2JRA4,A0A0G2JRA4
C9IYU7,C9IYU7
C9J6D1,C9J6D1
E9PRX5,E9PRX5
F8SNU6,F8SNU6
H3BMK2,H3BMK2
H3BR56,H3BR56
A0A1L6Z9Z3,A0A1L6Z9Z3
E9PKR2,E9PKR2
H3BP68,H3BP68
H3BRY7,H3BRY7
Q53YC7,Q53YC7
Q0VXC5,Q0VXC5
B2RXH3,B2RXH3
A0A222UBS7,A0A222UBS7
C9J4Z3,C9J4Z3
A0A1B0GTS4,A0A1B0GTS4
A0A217FLJ2,A0A217FLJ2
D2CGD1,D2CGD1
F5GX34,F5GX34
B5MCY9,B5MCY9
E9PJI7,E9PJI7
U3KPS2,U3KPS2
K4Q466,K4Q466
A0A1Y6MT95,A0A1Y6MT95
A0A024R0B7,A0A024R0B7
A0A024QZ78,A0A024QZ78
B2RB70,B2RB70
X6R9C8,X6R9C8
A0A0C4DG80,A0A0C4DG80
A0A0J9YW13,A0A0J9YW13
Q6GSK2,Q6GSK2
B2RTT7,B2RTT7
E9PS02,E9PS02
Q9H5F7,Q9H5F7
A2RUM7,A2RUM7
G8JLA1,G8JLA1
Q08AP5,Q08AP5
Q6AHZ8,Q6AHZ8
A0A0A0MRQ7,A0A0A0MRQ7
F5H390,F5H390
H0YKR2,H0YKR2
I3L2W7,I3L2W7
J3QL79,J3QL79
A0A0G2JMW8,A0A0G2JMW8
A0A1K0FU49,A0A1K0FU49
E5RGN4,E5RGN4
E9PI66,E9PI66
F5H2X6,F5H2X6
A0A218N9S9,A0A218N9S9
Q2TU73,Q2TU73
H0YCU3,H0YCU3
B3KN43,B3KN43
B4DEV8,B4DEV8
F2Z2H3,F2Z2H3
H0YLW7,H0YLW7
Q7Z663,Q7Z663
Q9H1R6,Q9H1R6
A0A024R0T0,A0A024R0T0
A0A0G2JM20,A0A0G2JM20
A0A140VJE8,A0A140VJE8
B7Z596,B7Z596
H0YL59,H0YL59
J3KT17,J3KT17
B1AH80,B1AH80
F2Z3H5,F2Z3H5
H0YH35,H0YH35
K7EIY2,K7EIY2
M0QXL2,M0QXL2
A0A024R1K8,A0A024R1K8
A0A0J9YW95,A0A0J9YW95
A0A1D3KYM1,A0A1D3KYM1
A0A1C3PHS6,A0A1C3PHS6
A0A024RCW6,A0A024RCW6
C9J3D4,C9J3D4
E9NSU1,E9NSU1
Q3KNW7,Q3KNW7
Q08AJ9,Q08AJ9
A8K881,A8K881
M0R2K0,M0R2K0
A0A0G2JLM1,A0A0G2JLM1
E9PJD4,E9PJD4
B0QYS5,B0QYS5
B3KV06,B3KV06
F8VV91,F8VV91
J3QKN8,J3QKN8
Q5FBZ9,Q5FBZ9
F8VPB3,F8VPB3
A0A087X214,A0A087X214
A8K571,A8K571
I3L1H9,I3L1H9
U3KQQ7,U3KQQ7
A0A0S2Z453,A0A0S2Z453
J3KRU5,J3KRU5
M0R0B2,M0R0B2
A0A0J9YW70,A0A0J9YW70
A0A0U1RRA0,A0A0U1RRA0
B0ZBF6,B0ZBF6
B4DYU0,B4DYU0
K7EII2,K7EII2
M0QXT4,M0QXT4
M0R292,M0R292
Q6ZR19,Q6ZR19
A0A1W2PRR2,A0A1W2PRR2
B4DLP0,B4DLP0
Q6IBV1,Q6IBV1
B2RU13,B2RU13
A0A024R5I6,A0A024R5I6
B2RUT9,B2RUT9
A0A0G2JIA9,A0A0G2JIA9
A0A1U9X609,A0A1U9X609
Q6P5Q6,Q6P5Q6
Q8N6Q4,Q8N6Q4
K7EM71,K7EM71
A0A024R7Q3,A0A024R7Q3
E9PPW2,E9PPW2
B2YAP0,B2YAP0
A0A090KEX7,A0A090KEX7
A6PVJ2,A6PVJ2
A0A024R4L1,A0A024R4L1
A0A024R9Y7,A0A024R9Y7
A0A1G4HPV5,A0A1G4HPV5
Q0ZFD6,Q0ZFD6
A0A024R3B3,A0A024R3B3
A0A024RDE0,A0A024RDE0
A0A0S2Z4W1,A0A0S2Z4W1
Q53Z40,Q53Z40
A0A0G2JIV5,A0A0G2JIV5
Q6ZWE5,Q6ZWE5
A0A024R5X6,A0A024R5X6
Q7Z3E4,Q7Z3E4
A0A0G2JMX1,A0A0G2JMX1
I3L0W5,I3L0W5
H3BS33,H3BS33
