Accession.trimmed,Gene.Symbol
Q8TB40,ABHD4
Q8WTS1,ABHD5
Q9BV23,ABHD6
Q96I13,ABHD8
Q9NUJ1,ABHDA
Q8NFV4,ABHDB
Q7L211,ABHDD
Q9BUJ0,ABHEA
Q96IU4,ABHEB
O95870,ABHGA
Q9H3Z7,ABHGB
Q8IZP0,ABI1
Q9NYB9,ABI2
Q9P2A4,ABI3
P00519,ABL1
P42684,ABL2
O14639,ABLM1
Q6H8Q1,ABLM2
O94929,ABLM3
Q9P1F3,ABRAL
Q8N0Z2,ABRA
Q6UWZ7,ABRX1
Q15018,ABRX2
Q12979,ABR
Q9ULW3,ABT1
Q969K4,ABTB1
Q8N961,ABTB2
Q13085,ACACA
O00763,ACACB
Q9UKU7,ACAD8
Q9H845,ACAD9
P28330,ACADL
P11310,ACADM
P16219,ACADS
P49748,ACADV
Q15027,ACAP1
Q15057,ACAP2
Q96P50,ACAP3
O00400,ACATN
Q8NC06,ACBD4
Q5T8D3,ACBD5
Q9BR61,ACBD6
Q8N6N7,ACBD7
Q96GR2,ACBG1
Q5FVE4,ACBG2
P07108,ACBP
Q6JQN1,ACD10
Q709F0,ACD11
P45954,ACDSB
Q96AP0,ACD
Q9BYF1,ACE2
Q8TDN7,ACER1
Q5QJU3,ACER2
Q9NUN7,ACER3
P22303,ACES
P12821,ACE
Q9GZZ6,ACH10
Q15822,ACHA2
P32297,ACHA3
P43681,ACHA4
P30532,ACHA5
Q15825,ACHA6
P36544,ACHA7
Q9UGM1,ACHA9
P02708,ACHA
P17787,ACHB2
Q05901,ACHB3
P30926,ACHB4
P11230,ACHB
Q07001,ACHD
Q04844,ACHE
P07510,ACHG
Q9UKV3,ACINU
Q07912,ACK1
Q16570,ACKR1
O00590,ACKR2
P25106,ACKR3
Q9NPB9,ACKR4
Q5JWF8,ACL10
O96019,ACL6A
O94805,ACL6B
Q9Y615,ACL7A
Q9Y614,ACL7B
P53396,ACLY
P11229,ACM1
P08172,ACM2
P20309,ACM3
P08173,ACM4
P08912,ACM5
Q8TDX5,ACMSD
Q8WXI4,ACO11
Q8WYK0,ACO12
Q9NPJ3,ACO13
Q8N1Q8,ACO15
P21399,ACOC
O00767,ACOD
Q99798,ACON
Q86TX2,ACOT1
P49753,ACOT2
Q8N9L9,ACOT4
Q3I5F7,ACOT6
O14734,ACOT8
Q9Y305,ACOT9
Q15067,ACOX1
Q99424,ACOX2
O15254,ACOX3
Q9NUZ1,ACOXL
Q6ZNF0,ACP7
P13798,ACPH
O14561,ACPM
Q8NEB7,ACRBP
Q96QF7,ACRC
P10323,ACRO
Q08AH3,ACS2A
Q68CK6,ACS2B
Q9NUB1,ACS2L
Q9NR19,ACSA
Q96CM8,ACSF2
Q4G176,ACSF3
Q4L235,ACSF4
P33121,ACSL1
O95573,ACSL3
O60488,ACSL4
Q9ULC5,ACSL5
Q9UKU0,ACSL6
Q08AH1,ACSM1
Q53FZ2,ACSM3
P0C7M7,ACSM4
Q6NUN0,ACSM5
Q6P461,ACSM6
Q9H6R3,ACSS3
P62736,ACTA
Q562R1,ACTBL
Q9BYX7,ACTBM
P60709,ACTB
P68032,ACTC
P63261,ACTG
Q01718,ACTHR
P63267,ACTH
Q9H568,ACTL8
Q8TC94,ACTL9
P12814,ACTN1
P35609,ACTN2
Q08043,ACTN3
O43707,ACTN4
P68133,ACTS
Q8TDG2,ACTT1
Q8TDY3,ACTT2
Q9BYD9,ACTT3
P42025,ACTY
P61163,ACTZ
P36896,ACV1B
Q8NER5,ACV1C
P37023,ACVL1
Q04771,ACVR1
Q03154,ACY1
P45381,ACY2
Q96HD9,ACY3
P07311,ACYP1
P14621,ACYP2
O14672,ADA10
O75078,ADA11
O43184,ADA12
Q13444,ADA15
P78536,ADA17
Q9Y3Q7,ADA18
Q9H013,ADA19
P35348,ADA1A
P35368,ADA1B
P25100,ADA1D
O43506,ADA20
Q9UKJ8,ADA21
Q9P0K1,ADA22
O75077,ADA23
Q9UKQ2,ADA28
Q9UKF5,ADA29
P08913,ADA2A
P18089,ADA2B
P18825,ADA2C
Q9NZK5,ADA2
Q9UKF2,ADA30
Q8TC27,ADA32
Q9BZ11,ADA33
Q96M93,ADAD1
Q8NCV1,ADAD2
Q6DHV7,ADAL
Q99965,ADAM2
Q6NVV9,ADAM5
Q9H2U9,ADAM7
P78325,ADAM8
Q13443,ADAM9
O75689,ADAP1
Q9NPF8,ADAP2
A8MUL3,ADAS1
O00116,ADAS
Q9BUB4,ADAT1
Q7Z6V5,ADAT2
Q96EY9,ADAT3
P00813,ADA
Q86TW2,ADCK1
Q7Z695,ADCK2
Q3MIX3,ADCK5
Q6P093,ADCL2
Q5VUY0,ADCL3
Q5VUY2,ADCL4
Q08828,ADCY1
Q08462,ADCY2
